Plot,Subplot,Date,Exposure,Openness
LFDP,394,12Dec2017,EV-2,0.382384093245727
LFDP,394,12Dec2017,EV-4,0.333713245898179
LFDP,394,12Dec2017,EV0,0.5154547637808727
LFDP,397,12Dec2017,EV-2,0.6160880576069657
LFDP,397,12Dec2017,EV-4,0.5964416739384015
LFDP,397,12Dec2017,EV0,0.6935437662834547
LFDP,400,11Dec2017,EV-2,0.3756229153170565
LFDP,400,11Dec2017,EV-4,0.30396100323649844
LFDP,400,11Dec2017,EV0,0.5630607006293218
LFDP,403,11Dec2017,EV-2,0.5881044764448768
LFDP,403,11Dec2017,EV-4,0.51069467329364
LFDP,403,11Dec2017,EV0,0.7289362707269602
LFDP,406,11Dec2017,EV-2,0.619573134905653
LFDP,406,11Dec2017,EV-4,0.5769643213660343
LFDP,406,11Dec2017,EV0,0.7224294963114497
