Plot,Treatment,Subplot,Date,Year,Month,Exposure,Focus,Openness
CTE,A1,1,8/13/2021,2021,8,EV-2,AF,0.048132455
CTE,A1,1,8/13/2021,2021,8,EV-4,AF,0.026736145
CTE,A1,1,8/13/2021,2021,8,EV0,AF,0.105305213
CTE,A1,13,8/13/2021,2021,8,EV-2,M,0.266508464
CTE,A1,13,8/13/2021,2021,8,EV-4,M,0.126586891
CTE,A1,13,8/13/2021,2021,8,EV0,M,0.464958216
CTE,A1,16,8/13/2021,2021,8,EV-2,M,0.093737606
CTE,A1,16,8/13/2021,2021,8,EV-4,M,0.054020912
CTE,A1,16,8/13/2021,2021,8,EV0,M,0.169440196
CTE,A1,4,8/13/2021,2021,8,EV-2,M,0.1022383
CTE,A1,4,8/13/2021,2021,8,EV-4,M,0.052369059
CTE,A1,4,8/13/2021,2021,8,EV0,M,0.278423588
CTE,A1,m,8/13/2021,2021,8,EV-2,AF,0.200838951
CTE,A1,m,8/13/2021,2021,8,EV-4,AF,0.147015673
CTE,A1,m,8/13/2021,2021,8,EV0,AF,0.313629048
CTE,A1,s1,8/13/2021,2021,8,EV-2,AF,0.080056587
CTE,A1,s1,8/13/2021,2021,8,EV-4,AF,0.044100874
CTE,A1,s1,8/13/2021,2021,8,EV0,AF,0.255227706
CTE,A1,s2,8/13/2021,2021,8,EV-2,M,0.141134862
CTE,A1,s2,8/13/2021,2021,8,EV-4,M,0.080001334
CTE,A1,s2,8/13/2021,2021,8,EV0,M,0.297963436
CTE,A1,s3,8/13/2021,2021,8,EV-2,AF,0.100395277
CTE,A1,s3,8/13/2021,2021,8,EV-4,AF,0.059810128
CTE,A1,s3,8/13/2021,2021,8,EV0,AF,0.167292205
CTE,A1,s4,8/13/2021,2021,8,EV-2,AF,0.135769651
CTE,A1,s4,8/13/2021,2021,8,EV-4,AF,0.059898267
CTE,A1,s4,8/13/2021,2021,8,EV0,AF,0.294194893
CTE,A1,s5,8/13/2021,2021,8,EV-2,AF,0.128136811
CTE,A1,s5,8/13/2021,2021,8,EV-4,AF,0.097960974
CTE,A1,s5,8/13/2021,2021,8,EV0,AF,0.19719524
CTE,A2,1,8/13/2021,2021,8,EV-2,AF,0.081850869
CTE,A2,1,8/13/2021,2021,8,EV-4,AF,0.041019766
CTE,A2,1,8/13/2021,2021,8,EV0,AF,0.165855182
CTE,A2,13,8/13/2021,2021,8,EV-2,AF,0.087850233
CTE,A2,13,8/13/2021,2021,8,EV-4,AF,0.051836749
CTE,A2,13,8/13/2021,2021,8,EV0,AF,0.13943762
CTE,A2,16,8/13/2021,2021,8,EV-2,AF,0.074159804
CTE,A2,16,8/13/2021,2021,8,EV-4,AF,0.028149943
CTE,A2,16,8/13/2021,2021,8,EV0,AF,0.324279427
CTE,A2,4,8/13/2021,2021,8,EV-2,AF,0.058609985
CTE,A2,4,8/13/2021,2021,8,EV-4,AF,0.030484567
CTE,A2,4,8/13/2021,2021,8,EV0,AF,0.131388501
CTE,A2,m,8/13/2021,2021,8,EV-2,M,0.053690089
CTE,A2,m,8/13/2021,2021,8,EV-4,M,0.019529547
CTE,A2,m,8/13/2021,2021,8,EV0,M,0.212476521
CTE,A2,s1,8/13/2021,2021,8,EV-2,AF,0.067076595
CTE,A2,s1,8/13/2021,2021,8,EV-4,AF,0.035039936
CTE,A2,s1,8/13/2021,2021,8,EV0,AF,0.139360455
CTE,A2,s2,8/13/2021,2021,8,EV-2,AF,0.123492155
CTE,A2,s2,8/13/2021,2021,8,EV-4,AF,0.075756136
CTE,A2,s2,8/13/2021,2021,8,EV0,AF,0.25944135
CTE,A2,s3,8/13/2021,2021,8,EV-2,AF,0.084103512
CTE,A2,s3,8/13/2021,2021,8,EV-4,AF,0.044752251
CTE,A2,s3,8/13/2021,2021,8,EV0,AF,0.182917897
CTE,A2,s4,8/13/2021,2021,8,EV-2,AF,0.072223199
CTE,A2,s4,8/13/2021,2021,8,EV-4,AF,0.03632194
CTE,A2,s4,8/13/2021,2021,8,EV0,AF,0.238410571
CTE,A2,s5,8/13/2021,2021,8,EV-2,AF,0.062046688
CTE,A2,s5,8/13/2021,2021,8,EV-4,AF,0.031458161
CTE,A2,s5,8/13/2021,2021,8,EV0,AF,0.10686926
CTE,A3,1,8/17/2021,2021,8,EV-2,AF,0.069070941
CTE,A3,1,8/17/2021,2021,8,EV-4,AF,0.03225376
CTE,A3,1,8/17/2021,2021,8,EV0,AF,0.205208547
CTE,A3,13,8/17/2021,2021,8,EV-2,AF,0.052959097
CTE,A3,13,8/17/2021,2021,8,EV-4,AF,0.028483767
CTE,A3,13,8/17/2021,2021,8,EV0,AF,0.177231498
CTE,A3,16,8/17/2021,2021,8,EV-2,AF,0.073976409
CTE,A3,16,8/17/2021,2021,8,EV-4,AF,0.030960287
CTE,A3,16,8/17/2021,2021,8,EV0,AF,0.210283716
CTE,A3,4,8/17/2021,2021,8,EV-2,AF,0.074923281
CTE,A3,4,8/17/2021,2021,8,EV-4,AF,0.049234484
CTE,A3,4,8/17/2021,2021,8,EV0,AF,0.198638707
CTE,A3,m,8/17/2021,2021,8,EV-2,AF,0.101156224
CTE,A3,m,8/17/2021,2021,8,EV-4,AF,0.057086651
CTE,A3,m,8/17/2021,2021,8,EV0,AF,0.206281517
CTE,A3,s1,8/17/2021,2021,8,EV-2,AF,0.157815432
CTE,A3,s1,8/17/2021,2021,8,EV-4,AF,0.111657756
CTE,A3,s1,8/17/2021,2021,8,EV0,AF,0.231878207
CTE,A3,s2,8/17/2021,2021,8,EV-2,AF,0.05086124
CTE,A3,s2,8/17/2021,2021,8,EV-4,AF,0.029078907
CTE,A3,s2,8/17/2021,2021,8,EV0,AF,0.111663061
CTE,A3,s3,8/17/2021,2021,8,EV-2,AF,0.066153804
CTE,A3,s3,8/17/2021,2021,8,EV-4,AF,0.044796905
CTE,A3,s3,8/17/2021,2021,8,EV0,AF,0.111593086
CTE,A3,s4,8/17/2021,2021,8,EV-2,AF,0.08156845
CTE,A3,s4,8/17/2021,2021,8,EV-4,AF,0.044545319
CTE,A3,s4,8/17/2021,2021,8,EV0,AF,0.15322749
CTE,A3,s5,8/17/2021,2021,8,EV-2,AF,0.059532716
CTE,A3,s5,8/17/2021,2021,8,EV-4,AF,0.03337546
CTE,A3,s5,8/17/2021,2021,8,EV0,AF,0.175619869
CTE,A4,1,8/17/2021,2021,8,EV-2,AF,0.137934431
CTE,A4,1,8/17/2021,2021,8,EV-4,AF,0.088359142
CTE,A4,1,8/17/2021,2021,8,EV0,AF,0.243105344
CTE,A4,13,8/17/2021,2021,8,EV-2,AF,0.101238639
CTE,A4,13,8/17/2021,2021,8,EV-4,AF,0.050238541
CTE,A4,13,8/17/2021,2021,8,EV0,AF,0.275113272
CTE,A4,16,8/17/2021,2021,8,EV-2,AF,0.093180319
CTE,A4,16,8/17/2021,2021,8,EV-4,AF,0.047200395
CTE,A4,16,8/17/2021,2021,8,EV0,AF,0.252567338
