Plot,Subplot,Date,Exposure,Focus,Openness
CTE,A1-1,13Aug2021,EV-2,AF,0.04813245510870705
CTE,A1-1,13Aug2021,EV-4,AF,0.02673614499702749
CTE,A1-1,13Aug2021,EV0,AF,0.10530521287953268
CTE,A1-13,13Aug2021,EV-2,M,0.2665084635419711
CTE,A1-13,13Aug2021,EV-4,M,0.1265868910718227
CTE,A1-13,13Aug2021,EV0,M,0.46495821573470036
CTE,A1-16,13Aug2021,EV-2,M,0.09373760638771945
CTE,A1-16,13Aug2021,EV-4,M,0.05402091229096556
CTE,A1-16,13Aug2021,EV0,M,0.1694401956369966
CTE,A1-4,13Aug2021,EV-2,M,0.10223829957456532
CTE,A1-4,13Aug2021,EV-4,M,0.05236905875738397
CTE,A1-4,13Aug2021,EV0,M,0.27842358776323173
CTE,A1-m,13Aug2021,EV-2,AF,0.2008389508427278
CTE,A1-m,13Aug2021,EV-4,AF,0.14701567342136207
CTE,A1-m,13Aug2021,EV0,AF,0.31362904755412596
CTE,A1-s1,13Aug2021,EV-2,AF,0.08005658716862624
CTE,A1-s1,13Aug2021,EV-4,AF,0.0441008744002332
CTE,A1-s1,13Aug2021,EV0,AF,0.2552277059841187
CTE,A1-s2,13Aug2021,EV-2,M,0.14113486205170359
CTE,A1-s2,13Aug2021,EV-4,M,0.08000133411996557
CTE,A1-s2,13Aug2021,EV0,M,0.29796343554631866
CTE,A1-s3,13Aug2021,EV-2,AF,0.10039527669114803
CTE,A1-s3,13Aug2021,EV-4,AF,0.05981012782599805
CTE,A1-s3,13Aug2021,EV0,AF,0.16729220489780952
CTE,A1-s4,13Aug2021,EV-2,AF,0.13576965053173715
CTE,A1-s4,13Aug2021,EV-4,AF,0.05989826692880216
CTE,A1-s4,13Aug2021,EV0,AF,0.2941948932207492
CTE,A1-s5,13Aug2021,EV-2,AF,0.12813681101667337
CTE,A1-s5,13Aug2021,EV-4,AF,0.09796097404813914
CTE,A1-s5,13Aug2021,EV0,AF,0.19719524016751827
CTE,A2-1,13Aug2021,EV-2,AF,0.08185086887713425
CTE,A2-1,13Aug2021,EV-4,AF,0.041019765820111104
CTE,A2-1,13Aug2021,EV0,AF,0.16585518217461034
CTE,A2-13,13Aug2021,EV-2,AF,0.08785023285085734
CTE,A2-13,13Aug2021,EV-4,AF,0.05183674919252887
CTE,A2-13,13Aug2021,EV0,AF,0.13943762011158883
CTE,A2-16,13Aug2021,EV-2,AF,0.07415980425770866
CTE,A2-16,13Aug2021,EV-4,AF,0.028149942955048614
CTE,A2-16,13Aug2021,EV0,AF,0.32427942678932564
CTE,A2-4,13Aug2021,EV-2,AF,0.058609984838819816
CTE,A2-4,13Aug2021,EV-4,AF,0.030484567441350665
CTE,A2-4,13Aug2021,EV0,AF,0.13138850102296906
CTE,A2-m,13Aug2021,EV-2,M,0.05369008872144439
CTE,A2-m,13Aug2021,EV-4,M,0.019529546614059368
CTE,A2-m,13Aug2021,EV0,M,0.21247652075530288
CTE,A2-s1,13Aug2021,EV-2,AF,0.06707659471550215
CTE,A2-s1,13Aug2021,EV-4,AF,0.03503993623363729
CTE,A2-s1,13Aug2021,EV0,AF,0.1393604546027928
CTE,A2-s2,13Aug2021,EV-2,AF,0.12349215454704007
CTE,A2-s2,13Aug2021,EV-4,AF,0.07575613565839692
CTE,A2-s2,13Aug2021,EV0,AF,0.25944134987930356
CTE,A2-s3,13Aug2021,EV-2,AF,0.08410351243814501
CTE,A2-s3,13Aug2021,EV-4,AF,0.04475225105047853
CTE,A2-s3,13Aug2021,EV0,AF,0.1829178974966208
