Plot,Treatment,Subplot,Date,Year,Month,Exposure,Focus,Openness
CTE,A1,1,11/3/2017,2017,11,EV-2,M,0.490031025
CTE,A1,1,11/3/2017,2017,11,EV-4,M,0.400787496
CTE,A1,1,11/3/2017,2017,11,EV0,M,0.784008536
CTE,A1,1,8/13/2021,2021,8,EV-2,AF,0.048132455
CTE,A1,1,8/13/2021,2021,8,EV-4,AF,0.026736145
CTE,A1,1,8/13/2021,2021,8,EV0,AF,0.105305213
CTE,A1,4,11/3/2017,2017,11,EV-2,M,0.680677382
CTE,A1,4,11/3/2017,2017,11,EV-4,M,0.628443043
CTE,A1,4,11/3/2017,2017,11,EV0,M,0.813679393
CTE,A1,4,8/13/2021,2021,8,EV-2,M,0.1022383
CTE,A1,4,8/13/2021,2021,8,EV-4,M,0.052369059
CTE,A1,4,8/13/2021,2021,8,EV0,M,0.278423588
CTE,A1,13,11/3/2017,2017,11,EV-2,AF,0.630592742
CTE,A1,13,11/3/2017,2017,11,EV-4,AF,0.579110814
CTE,A1,13,11/3/2017,2017,11,EV0,AF,0.779926746
CTE,A1,13,8/13/2021,2021,8,EV-2,M,0.266508464
CTE,A1,13,8/13/2021,2021,8,EV-4,M,0.126586891
CTE,A1,13,8/13/2021,2021,8,EV0,M,0.464958216
CTE,A1,16,11/3/2017,2017,11,EV-2,M,0.363749661
CTE,A1,16,11/3/2017,2017,11,EV-4,M,0.266652055
CTE,A1,16,11/3/2017,2017,11,EV0,M,0.553594474
CTE,A1,16,8/13/2021,2021,8,EV-2,M,0.093737606
CTE,A1,16,8/13/2021,2021,8,EV-4,M,0.054020912
CTE,A1,16,8/13/2021,2021,8,EV0,M,0.169440196
CTE,A1,m,11/3/2017,2017,11,EV-2,AF,0.649064877
CTE,A1,m,11/3/2017,2017,11,EV-4,AF,0.594318989
CTE,A1,m,11/3/2017,2017,11,EV0,AF,0.787183533
CTE,A1,m,8/13/2021,2021,8,EV-2,AF,0.200838951
CTE,A1,m,8/13/2021,2021,8,EV-4,AF,0.147015673
CTE,A1,m,8/13/2021,2021,8,EV0,AF,0.313629048
CTE,A1,s1,11/3/2017,2017,11,EV-2,AF,0.637463313
CTE,A1,s1,11/3/2017,2017,11,EV-4,AF,0.576036772
CTE,A1,s1,11/3/2017,2017,11,EV0,AF,0.816251745
CTE,A1,s1,8/13/2021,2021,8,EV-2,AF,0.080056587
CTE,A1,s1,8/13/2021,2021,8,EV-4,AF,0.044100874
CTE,A1,s1,8/13/2021,2021,8,EV0,AF,0.255227706
CTE,A1,s2,11/3/2017,2017,11,EV-2,AF,0.561187704
CTE,A1,s2,11/3/2017,2017,11,EV-4,AF,0.51084407
CTE,A1,s2,11/3/2017,2017,11,EV0,AF,0.67888077
CTE,A1,s2,8/13/2021,2021,8,EV-2,M,0.141134862
CTE,A1,s2,8/13/2021,2021,8,EV-4,M,0.080001334
CTE,A1,s2,8/13/2021,2021,8,EV0,M,0.297963436
CTE,A1,s3,11/3/2017,2017,11,EV-2,M,0.642440494
CTE,A1,s3,11/3/2017,2017,11,EV-4,M,0.564129757
CTE,A1,s3,11/3/2017,2017,11,EV0,M,0.806097481
CTE,A1,s3,8/13/2021,2021,8,EV-2,AF,0.100395277
CTE,A1,s3,8/13/2021,2021,8,EV-4,AF,0.059810128
CTE,A1,s3,8/13/2021,2021,8,EV0,AF,0.167292205
CTE,A1,s4,11/3/2017,2017,11,EV-2,M,0.506247202
CTE,A1,s4,11/3/2017,2017,11,EV-4,M,0.435485129
CTE,A1,s4,11/3/2017,2017,11,EV0,M,0.695295368
CTE,A1,s4,8/13/2021,2021,8,EV-2,AF,0.135769651
CTE,A1,s4,8/13/2021,2021,8,EV-4,AF,0.059898267
CTE,A1,s4,8/13/2021,2021,8,EV0,AF,0.294194893
CTE,A1,s5,11/3/2017,2017,11,EV-2,M,0.538136597
CTE,A1,s5,11/3/2017,2017,11,EV-4,M,0.458970829
CTE,A1,s5,11/3/2017,2017,11,EV0,M,0.720485497
CTE,A1,s5,8/13/2021,2021,8,EV-2,AF,0.128136811
CTE,A1,s5,8/13/2021,2021,8,EV-4,AF,0.097960974
CTE,A1,s5,8/13/2021,2021,8,EV0,AF,0.19719524
CTE,A2,1,11/6/2017,2017,11,EV-2,AF,0.473805184
CTE,A2,1,11/6/2017,2017,11,EV-4,AF,0.390690426
CTE,A2,1,11/6/2017,2017,11,EV0,AF,0.691929951
CTE,A2,1,8/13/2021,2021,8,EV-2,AF,0.081850869
CTE,A2,1,8/13/2021,2021,8,EV-4,AF,0.041019766
CTE,A2,1,8/13/2021,2021,8,EV0,AF,0.165855182
CTE,A2,4,11/6/2017,2017,11,EV-2,AF,0.548874299
CTE,A2,4,11/6/2017,2017,11,EV-4,AF,0.480175909
CTE,A2,4,11/6/2017,2017,11,EV0,AF,0.719721184
CTE,A2,4,8/13/2021,2021,8,EV-2,AF,0.058609985
CTE,A2,4,8/13/2021,2021,8,EV-4,AF,0.030484567
CTE,A2,4,8/13/2021,2021,8,EV0,AF,0.131388501
CTE,A2,13,11/6/2017,2017,11,EV-2,M,0.482263911
CTE,A2,13,11/6/2017,2017,11,EV-4,M,0.373474112
CTE,A2,13,11/6/2017,2017,11,EV0,M,0.791530054
CTE,A2,13,8/13/2021,2021,8,EV-2,AF,0.087850233
CTE,A2,13,8/13/2021,2021,8,EV-4,AF,0.051836749
CTE,A2,13,8/13/2021,2021,8,EV0,AF,0.13943762
CTE,A2,16,11/6/2017,2017,11,EV-2,M,0.643313626
CTE,A2,16,11/6/2017,2017,11,EV-4,M,0.563773646
CTE,A2,16,11/6/2017,2017,11,EV0,M,0.869006716
CTE,A2,16,8/13/2021,2021,8,EV-2,AF,0.074159804
CTE,A2,16,8/13/2021,2021,8,EV-4,AF,0.028149943
CTE,A2,16,8/13/2021,2021,8,EV0,AF,0.324279427
CTE,A2,m,11/6/2017,2017,11,EV-2,M,0.339531848
CTE,A2,m,11/6/2017,2017,11,EV-4,M,0.265761016
CTE,A2,m,11/6/2017,2017,11,EV0,M,0.636487241
CTE,A2,m,8/13/2021,2021,8,EV-2,M,0.053690089
CTE,A2,m,8/13/2021,2021,8,EV-4,M,0.019529547
CTE,A2,m,8/13/2021,2021,8,EV0,M,0.212476521
CTE,A2,s1,11/6/2017,2017,11,EV-2,AF,0.497266132
CTE,A2,s1,11/6/2017,2017,11,EV-4,AF,0.426892224
CTE,A2,s1,11/6/2017,2017,11,EV0,AF,0.696875215
CTE,A2,s1,8/13/2021,2021,8,EV-2,AF,0.067076595
CTE,A2,s1,8/13/2021,2021,8,EV-4,AF,0.035039936
CTE,A2,s1,8/13/2021,2021,8,EV0,AF,0.139360455
CTE,A2,s2,11/6/2017,2017,11,EV-2,AF,0.648144252
CTE,A2,s2,11/6/2017,2017,11,EV-4,AF,0.615135517
CTE,A2,s2,11/6/2017,2017,11,EV0,AF,0.765782117
CTE,A2,s2,8/13/2021,2021,8,EV-2,AF,0.123492155
CTE,A2,s2,8/13/2021,2021,8,EV-4,AF,0.075756136
CTE,A2,s2,8/13/2021,2021,8,EV0,AF,0.25944135
CTE,A2,s3,11/6/2017,2017,11,EV-2,AF,0.475243315
CTE,A2,s3,11/6/2017,2017,11,EV-4,AF,0.42049364
CTE,A2,s3,11/6/2017,2017,11,EV0,AF,0.663607529
CTE,A2,s3,8/13/2021,2021,8,EV-2,AF,0.084103512
CTE,A2,s3,8/13/2021,2021,8,EV-4,AF,0.044752251
CTE,A2,s3,8/13/2021,2021,8,EV0,AF,0.182917897
CTE,A2,s4,11/6/2017,2017,11,EV-2,AF,0.610795343
CTE,A2,s4,11/6/2017,2017,11,EV-4,AF,0.567517119
CTE,A2,s4,11/6/2017,2017,11,EV0,AF,0.748496181
CTE,A2,s4,8/13/2021,2021,8,EV-2,AF,0.072223199
CTE,A2,s4,8/13/2021,2021,8,EV-4,AF,0.03632194
CTE,A2,s4,8/13/2021,2021,8,EV0,AF,0.238410571
CTE,A2,s5,11/6/2017,2017,11,EV-2,AF,0.442911234
CTE,A2,s5,11/6/2017,2017,11,EV-4,AF,0.384237562
CTE,A2,s5,11/6/2017,2017,11,EV0,AF,0.62921423
CTE,A2,s5,8/13/2021,2021,8,EV-2,AF,0.062046688
CTE,A2,s5,8/13/2021,2021,8,EV-4,AF,0.031458161
CTE,A2,s5,8/13/2021,2021,8,EV0,AF,0.10686926
CTE,A3,1,11/8/2017,2017,11,EV-2,M,0.521170249
CTE,A3,1,11/8/2017,2017,11,EV-4,M,0.441526584
