Plot,Subplot,Date,Year,Month,X,Y,Exposure,Focus,Openness
LFDP,37,6/1/2021,2021,6,40,40,EV-2,M,0.107254504
LFDP,37,6/1/2021,2021,6,40,40,EV-4,M,0.05812985
LFDP,37,6/1/2021,2021,6,40,40,EV0,M,0.238451941
LFDP,40,6/1/2021,2021,6,100,40,EV-2,AF,0.112265677
LFDP,40,6/1/2021,2021,6,100,40,EV-4,AF,0.069367992
LFDP,40,6/1/2021,2021,6,100,40,EV0,AF,0.218784985
LFDP,43,6/1/2021,2021,6,160,40,EV-2,AF,0.091105192
LFDP,43,6/1/2021,2021,6,160,40,EV-4,AF,0.049427769
LFDP,43,6/1/2021,2021,6,160,40,EV0,AF,0.192382672
LFDP,46,6/1/2021,2021,6,220,40,EV-2,AF,0.082727735
LFDP,46,6/1/2021,2021,6,220,40,EV-4,AF,0.036826836
LFDP,46,6/1/2021,2021,6,220,40,EV0,AF,0.190761941
LFDP,49,6/1/2021,2021,6,280,40,EV-2,AF,0.135978072
LFDP,49,6/1/2021,2021,6,280,40,EV-4,AF,0.06624107
LFDP,49,6/1/2021,2021,6,280,40,EV0,AF,0.245443538
LFDP,88,6/3/2021,2021,6,40,100,EV-2,AF,0.117588449
LFDP,88,6/3/2021,2021,6,40,100,EV-4,AF,0.057032906
LFDP,88,6/3/2021,2021,6,40,100,EV0,AF,0.362710211
LFDP,91,6/3/2021,2021,6,100,100,EV-2,AF,0.178474503
LFDP,91,6/3/2021,2021,6,100,100,EV-4,AF,0.095782507
LFDP,91,6/3/2021,2021,6,100,100,EV0,AF,0.370530634
LFDP,94,6/3/2021,2021,6,160,100,EV-2,M,0.22103531
LFDP,94,6/3/2021,2021,6,160,100,EV-4,M,0.097445104
LFDP,94,6/3/2021,2021,6,160,100,EV0,M,0.667694297
LFDP,97,6/3/2021,2021,6,220,100,EV-2,AF,0.078425468
LFDP,97,6/3/2021,2021,6,220,100,EV-4,AF,0.039032185
LFDP,97,6/3/2021,2021,6,220,100,EV0,AF,0.232807274
LFDP,100,6/3/2021,2021,6,280,100,EV-2,AF,0.126913341
LFDP,100,6/3/2021,2021,6,280,100,EV-4,AF,0.052913248
LFDP,100,6/3/2021,2021,6,280,100,EV0,AF,0.278212301
LFDP,139,6/22/2021,2021,6,40,160,EV-2,AF,0.08888441
LFDP,139,6/22/2021,2021,6,40,160,EV-4,AF,0.052518106
LFDP,139,6/22/2021,2021,6,40,160,EV0,AF,0.202264335
LFDP,142,6/22/2021,2021,6,100,160,EV-2,AF,0.06952558
LFDP,142,6/22/2021,2021,6,100,160,EV-4,AF,0.021543353
LFDP,142,6/22/2021,2021,6,100,160,EV0,AF,0.224071877
LFDP,145,6/22/2021,2021,6,160,160,EV-2,AF,0.055692322
LFDP,145,6/22/2021,2021,6,160,160,EV-4,AF,0.044343966
LFDP,145,6/22/2021,2021,6,160,160,EV0,AF,0.096745571
LFDP,148,7/2/2021,2021,7,220,160,EV-2,M,0.285874208
LFDP,148,7/2/2021,2021,7,220,160,EV-4,M,0.200320332
LFDP,148,7/2/2021,2021,7,220,160,EV0,M,0.489116089
LFDP,151,6/3/2021,2021,6,280,160,EV-2,AF,0.08933625
LFDP,151,6/3/2021,2021,6,280,160,EV-4,AF,0.044823151
LFDP,151,6/3/2021,2021,6,280,160,EV0,AF,0.347310431
LFDP,190,6/22/2021,2021,6,40,220,EV-2,AF,0.079647544
LFDP,190,6/22/2021,2021,6,40,220,EV-4,AF,0.034660977
LFDP,190,6/22/2021,2021,6,40,220,EV0,AF,0.311718593
LFDP,193,6/22/2021,2021,6,100,220,EV-2,AF,0.101976439
LFDP,193,6/22/2021,2021,6,100,220,EV-4,AF,0.042622585
LFDP,193,6/22/2021,2021,6,100,220,EV0,AF,0.292756948
LFDP,196,6/29/2021,2021,6,160,220,EV-2,AF,0.215256905
LFDP,196,6/29/2021,2021,6,160,220,EV-4,AF,0.066486923
LFDP,196,6/29/2021,2021,6,160,220,EV0,AF,0.65775799
LFDP,199,6/29/2021,2021,6,220,220,EV-2,AF,0.322296256
LFDP,199,6/29/2021,2021,6,220,220,EV-4,AF,0.048870976
LFDP,199,6/29/2021,2021,6,220,220,EV0,AF,0.731997449
LFDP,202,6/29/2021,2021,6,280,220,EV-2,AF,0.218337066
LFDP,202,6/29/2021,2021,6,280,220,EV-4,AF,0.032360614
LFDP,202,6/29/2021,2021,6,280,220,EV0,AF,0.799221969
LFDP,241,7/13/2021,2021,7,40,280,EV-2,AF,0.107330852
LFDP,241,7/13/2021,2021,7,40,280,EV-4,AF,0.060369427
LFDP,241,7/13/2021,2021,7,40,280,EV0,AF,0.220555711
LFDP,244,7/13/2021,2021,7,100,280,EV-2,AF,0.112824518
LFDP,244,7/13/2021,2021,7,100,280,EV-4,AF,0.073825205
LFDP,244,7/13/2021,2021,7,100,280,EV0,AF,0.171128404
LFDP,247,6/29/2021,2021,6,160,280,EV-2,M,0.197628458
LFDP,247,6/29/2021,2021,6,160,280,EV-4,M,0.065583411
LFDP,247,6/29/2021,2021,6,160,280,EV0,M,0.89506116
LFDP,250,6/29/2021,2021,6,220,280,EV-2,M,0.468778631
LFDP,250,6/29/2021,2021,6,220,280,EV-4,M,0.30951607
LFDP,250,6/29/2021,2021,6,220,280,EV0,M,0.737516738
LFDP,253,6/29/2021,2021,6,280,280,EV-2,AF,0.182791922
LFDP,253,6/29/2021,2021,6,280,280,EV-4,AF,0.046351593
LFDP,253,6/29/2021,2021,6,280,280,EV0,AF,0.70801471
LFDP,292,7/13/2021,2021,7,40,340,EV-2,AF,0.076252028
LFDP,292,7/13/2021,2021,7,40,340,EV-4,AF,0.040411872
LFDP,292,7/13/2021,2021,7,40,340,EV0,AF,0.13890955
LFDP,295,7/13/2021,2021,7,100,340,EV-2,AF,0.094485619
LFDP,295,7/13/2021,2021,7,100,340,EV-4,AF,0.048699891
LFDP,295,7/13/2021,2021,7,100,340,EV0,AF,0.216514475
LFDP,298,7/13/2021,2021,7,160,340,EV-2,AF,0.066623486
LFDP,298,7/13/2021,2021,7,160,340,EV-4,AF,0.032582416
LFDP,298,7/13/2021,2021,7,160,340,EV0,AF,0.179055366
LFDP,301,7/13/2021,2021,7,220,340,EV-2,M,0.083979991
LFDP,301,7/13/2021,2021,7,220,340,EV-4,M,0.034520462
LFDP,301,7/13/2021,2021,7,220,340,EV0,M,0.274020454
LFDP,304,7/13/2021,2021,7,280,340,EV-2,AF,0.112106068
LFDP,304,7/13/2021,2021,7,280,340,EV-4,AF,0.058840778
LFDP,304,7/13/2021,2021,7,280,340,EV0,AF,0.265884907
LFDP,343,7/22/2021,2021,7,40,400,EV-2,AF,0.083580698
LFDP,343,7/22/2021,2021,7,40,400,EV-4,AF,0.05172404
LFDP,343,7/22/2021,2021,7,40,400,EV0,AF,0.158408858
LFDP,346,7/13/2021,2021,7,100,400,EV-2,AF,0.067824862
LFDP,346,7/13/2021,2021,7,100,400,EV-4,AF,0.031702408
LFDP,346,7/13/2021,2021,7,100,400,EV0,AF,0.187846314
LFDP,349,7/13/2021,2021,7,160,400,EV-2,AF,0.081952102
LFDP,349,7/13/2021,2021,7,160,400,EV-4,AF,0.041904003
LFDP,349,7/13/2021,2021,7,160,400,EV0,AF,0.216003762
LFDP,352,7/13/2021,2021,7,220,400,EV-2,AF,0.097626375
LFDP,352,7/13/2021,2021,7,220,400,EV-4,AF,0.044563255
LFDP,352,7/13/2021,2021,7,220,400,EV0,AF,0.235595518
LFDP,355,7/13/2021,2021,7,280,400,EV-2,AF,0.065357382
LFDP,355,7/13/2021,2021,7,280,400,EV-4,AF,0.035318623
LFDP,355,7/13/2021,2021,7,280,400,EV0,AF,0.142585541
LFDP,394,7/22/2021,2021,7,40,460,EV-2,AF,0.071791396
LFDP,394,7/22/2021,2021,7,40,460,EV-4,AF,0.034577169
LFDP,394,7/22/2021,2021,7,40,460,EV0,AF,0.159186748
LFDP,397,7/22/2021,2021,7,100,460,EV-2,AF,0.087004868
LFDP,397,7/22/2021,2021,7,100,460,EV-4,AF,0.044420244
