Plot,Subplot,Date,Exposure,Focus,Openness
LFDP,100,03Jun2021,EV-2,AF,0.12691334095126397
LFDP,100,03Jun2021,EV-4,AF,0.05291324840019363
LFDP,100,03Jun2021,EV0,AF,0.27821230059135016
LFDP,139,22Jun2021,EV-2,AF,0.08888441047174557
LFDP,139,22Jun2021,EV-4,AF,0.05251810567737121
LFDP,139,22Jun2021,EV0,AF,0.20226433524733295
LFDP,142,22Jun2021,EV-2,AF,0.06952558004953172
LFDP,142,22Jun2021,EV-4,AF,0.021543353018394884
LFDP,142,22Jun2021,EV0,AF,0.2240718767415116
LFDP,145,22Jun2021,EV-2,AF,0.05569232179899336
LFDP,145,22Jun2021,EV-4,AF,0.044343965986888154
LFDP,145,22Jun2021,EV0,AF,0.09674557120937682
LFDP,148,02Jul2021,EV-2,M,0.28587420834042926
LFDP,148,02Jul2021,EV-4,M,0.20032033163344237
LFDP,148,02Jul2021,EV0,M,0.4891160886232155
LFDP,151,03Jun2021,EV-2,AF,0.08933625044735388
LFDP,151,03Jun2021,EV-4,AF,0.04482315139883349
LFDP,151,03Jun2021,EV0,AF,0.3473104313624466
LFDP,190,22Jun2021,EV-2,AF,0.07964754395055165
LFDP,190,22Jun2021,EV-4,AF,0.03466097677593441
LFDP,190,22Jun2021,EV0,AF,0.31171859331301693
LFDP,193,22Jun2021,EV-2,AF,0.10197643866193204
LFDP,193,22Jun2021,EV-4,AF,0.04262258522705696
LFDP,193,22Jun2021,EV0,AF,0.292756947666013
LFDP,196,29Jun2021,EV-2,AF,0.21525690468316197
LFDP,196,29Jun2021,EV-4,AF,0.06648692279920698
LFDP,196,29Jun2021,EV0,AF,0.6577579902117606
LFDP,199,29Jun2021,EV-2,AF,0.32229625597527184
LFDP,199,29Jun2021,EV-4,AF,0.04887097574009688
LFDP,199,29Jun2021,EV0,AF,0.7319974488635023
LFDP,202,29Jun2021,EV-2,AF,0.21833706618435428
LFDP,202,29Jun2021,EV-4,AF,0.03236061351050307
LFDP,202,29Jun2021,EV0,AF,0.799221968856488
LFDP,241,13Jul2021,EV-2,AF,0.1073308523809347
LFDP,241,13Jul2021,EV-4,AF,0.06036942665765421
LFDP,241,13Jul2021,EV0,AF,0.22055571107220648
LFDP,244,13Jul2021,EV-2,AF,0.11282451767845031
LFDP,244,13Jul2021,EV-4,AF,0.07382520471670803
LFDP,244,13Jul2021,EV0,AF,0.17112840431808538
LFDP,247,29Jun2021,EV-2,M,0.1976284581966222
LFDP,247,29Jun2021,EV-4,M,0.06558341061332301
LFDP,247,29Jun2021,EV0,M,0.895061159818048
LFDP,250,29Jun2021,EV-2,M,0.4687786314704925
LFDP,250,29Jun2021,EV-4,M,0.30951606969037104
LFDP,250,29Jun2021,EV0,M,0.7375167381333572
LFDP,253,29Jun2021,EV-2,AF,0.18279192175742504
LFDP,253,29Jun2021,EV-4,AF,0.046351592991849905
LFDP,253,29Jun2021,EV0,AF,0.7080147097763674
LFDP,292,13Jul2021,EV-2,AF,0.0762520277357527
LFDP,292,13Jul2021,EV-4,AF,0.04041187232009484
LFDP,292,13Jul2021,EV0,AF,0.13890955039809713
LFDP,295,13Jul2021,EV-2,AF,0.09448561874225878
LFDP,295,13Jul2021,EV-4,AF,0.048699891273442916
LFDP,295,13Jul2021,EV0,AF,0.21651447494532705
LFDP,298,13Jul2021,EV-2,AF,0.06662348627603748
LFDP,298,13Jul2021,EV-4,AF,0.032582415593501515
LFDP,298,13Jul2021,EV0,AF,0.179055366123524
LFDP,301,13Jul2021,EV-2,M,0.08397999092679745
LFDP,301,13Jul2021,EV-4,M,0.0345204615282388
LFDP,301,13Jul2021,EV0,M,0.27402045391451757
LFDP,304,13Jul2021,EV-2,AF,0.11210606836083722
LFDP,304,13Jul2021,EV-4,AF,0.05884077809726393
LFDP,304,13Jul2021,EV0,AF,0.2658849070123359
LFDP,343,22Jul2021,EV-2,AF,0.08358069757635511
LFDP,343,22Jul2021,EV-4,AF,0.05172404009947686
LFDP,343,22Jul2021,EV0,AF,0.15840885788781894
LFDP,346,13Jul2021,EV-2,AF,0.06782486179981506
LFDP,346,13Jul2021,EV-4,AF,0.03170240812133408
LFDP,346,13Jul2021,EV0,AF,0.18784631393774762
LFDP,349,13Jul2021,EV-2,AF,0.08195210204089287
LFDP,349,13Jul2021,EV-4,AF,0.04190400319059206
LFDP,349,13Jul2021,EV0,AF,0.216003762426277
LFDP,352,13Jul2021,EV-2,AF,0.09762637539428824
LFDP,352,13Jul2021,EV-4,AF,0.044563254639194694
LFDP,352,13Jul2021,EV0,AF,0.23559551844742288
LFDP,355,13Jul2021,EV-2,AF,0.06535738219805501
LFDP,355,13Jul2021,EV-4,AF,0.035318622994456726
LFDP,355,13Jul2021,EV0,AF,0.14258554092530396
LFDP,37,01Jun2021,EV-2,M,0.10725450444362691
LFDP,37,01Jun2021,EV-4,M,0.05812984980153879
LFDP,37,01Jun2021,EV0,M,0.23845194118738403
LFDP,394,22Jul2021,EV-2,AF,0.07179139619125229
LFDP,394,22Jul2021,EV-4,AF,0.03457716933317824
LFDP,394,22Jul2021,EV0,AF,0.15918674750301376
LFDP,397,22Jul2021,EV-2,AF,0.08700486768934604
LFDP,397,22Jul2021,EV-4,AF,0.044420244330159994
LFDP,397,22Jul2021,EV0,AF,0.20434410169565556
LFDP,40,01Jun2021,EV-2,AF,0.11226567670065049
LFDP,40,01Jun2021,EV-4,AF,0.06936799239649663
LFDP,40,01Jun2021,EV0,AF,0.21878498485519027
LFDP,400,22Jul2021,EV-2,M,0.09589364927481729
LFDP,400,22Jul2021,EV-4,M,0.0533280072500017
LFDP,400,22Jul2021,EV0,M,0.27415012253964716
LFDP,403,22Jul2021,EV-2,M,0.12697711216130295
LFDP,403,22Jul2021,EV-4,M,0.055394303064083
LFDP,403,22Jul2021,EV0,M,0.3861321880344291
LFDP,406,22Jul2021,EV-2,AF,0.07547528886535437
LFDP,406,22Jul2021,EV-4,AF,0.03677660924010748
LFDP,406,22Jul2021,EV0,AF,0.20198645468202905
LFDP,43,01Jun2021,EV-2,AF,0.09110519161290326
LFDP,43,01Jun2021,EV-4,AF,0.04942776941139094
LFDP,43,01Jun2021,EV0,AF,0.19238267162260037
LFDP,46,01Jun2021,EV-2,AF,0.08272773465259871
LFDP,46,01Jun2021,EV-4,AF,0.036826836399243876
LFDP,46,01Jun2021,EV0,AF,0.19076194142419103
LFDP,49,01Jun2021,EV-2,AF,0.13597807184833036
LFDP,49,01Jun2021,EV-4,AF,0.06624106954660264
LFDP,49,01Jun2021,EV0,AF,0.24544353816976888
LFDP,88,03Jun2021,EV-2,AF,0.11758844885783565
LFDP,88,03Jun2021,EV-4,AF,0.057032906388104834
LFDP,88,03Jun2021,EV0,AF,0.3627102109954605
LFDP,91,03Jun2021,EV-2,AF,0.1784745026594286
LFDP,91,03Jun2021,EV-4,AF,0.0957825072309966
LFDP,91,03Jun2021,EV0,AF,0.37053063350750726
LFDP,94,03Jun2021,EV-2,M,0.22103530972383262
LFDP,94,03Jun2021,EV-4,M,0.0974451043909965
LFDP,94,03Jun2021,EV0,M,0.66769429735077
LFDP,97,03Jun2021,EV-2,AF,0.07842546819387958
LFDP,97,03Jun2021,EV-4,AF,0.03903218456171923
LFDP,97,03Jun2021,EV0,AF,0.23280727440384147
