Plot,Subplot,Date,Exposure,Openness
LFDP,37,20-Nov-11,EV-2,0.098802826
LFDP,37,20-Nov-11,EV-4,0.049481174
LFDP,37,20-Nov-11,EV0,0.242875683
LFDP,37,1-May-12,EV-2,0.088198896
LFDP,37,1-May-12,EV-4,0.049185019
LFDP,37,1-May-12,EV0,0.193686968
LFDP,37,16-Nov-17,EV-2,0.503910349
LFDP,37,16-Nov-17,EV-4,0.424143837
LFDP,37,16-Nov-17,EV-4,0.424143837
LFDP,37,16-Nov-17,EV-4,0.424143837
LFDP,37,16-Nov-17,EV0,0.712932572
LFDP,40,8-Dec-11,EV-2,0.090922724
LFDP,40,8-Dec-11,EV-4,0.04833703
LFDP,40,8-Dec-11,EV0,0.183614273
LFDP,40,4-May-12,EV-2,0.117280304
LFDP,40,4-May-12,EV-4,0.057804866
LFDP,40,4-May-12,EV0,0.331785071
LFDP,40,16-Nov-17,EV-2,0.50463979
LFDP,40,16-Nov-17,EV-4,0.408180555
LFDP,40,16-Nov-17,EV-4,0.408180555
LFDP,40,16-Nov-17,EV-4,0.408180555
LFDP,40,16-Nov-17,EV0,0.690483268
LFDP,43,14-Dec-11,EV-2,0.091887854
LFDP,43,14-Dec-11,EV-4,0.051884664
LFDP,43,14-Dec-11,EV0,0.157219212
LFDP,43,4-May-12,EV-2,0.179043934
LFDP,43,4-May-12,EV-4,0.067703452
LFDP,43,4-May-12,EV0,0.333301781
LFDP,43,29-Nov-17,EV-2,0.549259469
LFDP,43,29-Nov-17,EV-4,0.484445494
LFDP,43,29-Nov-17,EV0,0.726418352
LFDP,46,15-Jan-12,EV-2,0.086030448
LFDP,46,15-Jan-12,EV-4,0.046593976
LFDP,46,15-Jan-12,EV0,0.189267306
LFDP,46,22-May-12,EV-2,0.087945687
LFDP,46,22-May-12,EV-4,0.043349199
LFDP,46,22-May-12,EV0,0.198707346
LFDP,46,29-Nov-17,EV-2,0.492707622
LFDP,46,29-Nov-17,EV-4,0.452534913
LFDP,46,29-Nov-17,EV-4,0.452534913
LFDP,46,29-Nov-17,EV-4,0.452534913
LFDP,46,29-Nov-17,EV0,0.597818803
LFDP,49,18-Dec-11,EV-2,0.087149774
LFDP,49,18-Dec-11,EV-4,0.048302316
LFDP,49,18-Dec-11,EV0,0.175722953
LFDP,49,11-May-12,EV-2,0.106359954
LFDP,49,11-May-12,EV-4,0.054153567
LFDP,49,11-May-12,EV0,0.278130557
LFDP,49,29-Nov-17,EV-2,0.292411111
LFDP,49,29-Nov-17,EV-4,0.244052906
LFDP,49,29-Nov-17,EV0,0.409403859
LFDP,88,20-Nov-11,EV-2,0.122448082
LFDP,88,20-Nov-11,EV-4,0.056658979
LFDP,88,20-Nov-11,EV0,0.260267122
LFDP,88,22-May-12,EV-2,0.127306099
LFDP,88,22-May-12,EV-4,0.072356649
LFDP,88,22-May-12,EV0,0.272030419
LFDP,88,30-Nov-17,EV-2,0.449843054
LFDP,88,30-Nov-17,EV-4,0.38669389
LFDP,88,30-Nov-17,EV0,0.609623147
LFDP,91,8-Dec-11,EV-2,0.106629084
LFDP,91,8-Dec-11,EV-4,0.054683095
LFDP,91,8-Dec-11,EV0,0.309023183
LFDP,91,4-May-12,EV-2,0.136392298
LFDP,91,4-May-12,EV-2,0.136392298
LFDP,91,4-May-12,EV-4,0.072679178
LFDP,91,4-May-12,EV0,0.465427482
LFDP,91,30-Nov-17,EV-2,0.542567153
LFDP,91,30-Nov-17,EV-4,0.488201767
LFDP,91,30-Nov-17,EV0,0.681106251
LFDP,94,14-Dec-11,EV-2,0.083891083
LFDP,94,14-Dec-11,EV-4,0.050423507
LFDP,94,14-Dec-11,EV0,0.183510605
LFDP,94,7-May-12,EV-2,0.101004436
LFDP,94,7-May-12,EV-4,0.058286894
LFDP,94,7-May-12,EV-4,0.058286894
LFDP,94,7-May-12,EV0,0.222679313
