Plot,Subplot,Date,Year,Month,Exposure,Focus,Openness
JZ,001C,2/19/2020,2020,2,EV-2,MF,0.277911374
JZ,002A,2/19/2020,2020,2,EV+2,AF,0.942321587
JZ,002A,2/19/2020,2020,2,EV+2,MF,0.945371238
JZ,002A,2/19/2020,2020,2,EV0,AF,0.715567948
JZ,002A,2/19/2020,2020,2,EV0,MF,0.663196927
JZ,002B,2/19/2020,2020,2,EV+2,MF,0.926916411
JZ,002B,2/19/2020,2020,2,EV-2,MF,0.211372399
JZ,002B,2/19/2020,2020,2,EV0,AF,0.743581637
JZ,002C,2/19/2020,2020,2,EV-2,AF,0.345338353
JZ,002C,2/19/2020,2020,2,EV0,MF,0.604012471
JZ,002C,2/19/2020,2020,2,EV0AF,JPG,0.850322212
JZ,003A,2/19/2020,2020,2,EV+2,MF,0.929628178
JZ,003A,2/19/2020,2020,2,EV-2,MF,0.25523069
JZ,003A,2/19/2020,2020,2,EV0,MF,0.632478481
JZ,003B,2/19/2020,2020,2,EV+2,MF,0.898715172
JZ,003B,2/19/2020,2020,2,EV-2,AF,0.214812877
JZ,003B,2/19/2020,2020,2,EV-2,MF,0.200174622
JZ,003B,2/19/2020,2020,2,EV0,AF,0.790168496
JZ,003B,2/19/2020,2020,2,EV0,MF,0.6979333
JZ,003C,2/19/2020,2020,2,EV+2,AF,0.90711273
JZ,003C,2/19/2020,2020,2,EV+2,MF,0.911242322
JZ,003C,2/19/2020,2020,2,EV-2,AF,0.267184575
JZ,003C,2/19/2020,2020,2,EV-2,MF,0.258088845
JZ,003C,2/19/2020,2020,2,EV0,AF,0.719696645
JZ,003C,2/19/2020,2020,2,EV0,MF,0.725099494
JZ,004A,2/10/2020,2020,2,EV+2,AF,0.941940299
JZ,004A,2/10/2020,2020,2,EV+2,MF,0.890674662
JZ,004A,2/10/2020,2020,2,EV-2,AF,0.444039861
JZ,004A,2/10/2020,2020,2,EV-2,MF,0.382548159
JZ,004A,2/10/2020,2020,2,EV0,AF,0.725892305
JZ,004A,2/10/2020,2020,2,EV0,MF,0.638293676
JZ,004B,2/10/2020,2020,2,EV+2,AF,0.913359251
JZ,004B,2/10/2020,2020,2,EV+2,MF,0.92714314
JZ,004B,2/10/2020,2020,2,EV-2,AF,0.127980377
JZ,004B,2/10/2020,2020,2,EV-2,MF,0.204307807
JZ,004B,2/10/2020,2020,2,EV0,AF,0.658821955
JZ,004B,2/10/2020,2020,2,EV0,MF,0.625268289
JZ,004C,2/10/2020,2020,2,EV+2,AF,0.942765636
JZ,004C,2/10/2020,2020,2,EV-2,AF,0.192618371
JZ,004C,2/10/2020,2020,2,EV-2,MF,0.313159601
JZ,004C,2/10/2020,2020,2,EV0,AF,0.688825486
JZ,004C,2/10/2020,2020,2,EV0,MF,0.756621952
JZ,005A,2/10/2020,2020,2,EV+2,AF,0.925985036
JZ,005A,2/10/2020,2020,2,EV+2,MF,0.950485771
JZ,005A,2/10/2020,2020,2,EV-2,AF,0.089071584
JZ,005A,2/10/2020,2020,2,EV-2,MF,0.13851633
JZ,005A,2/10/2020,2020,2,EV0,AF,0.376757234
JZ,005B,2/10/2020,2020,2,EV-2,AF,0.180783459
JZ,005B,2/10/2020,2020,2,EV-2,MF,0.188714613
JZ,005C,2/10/2020,2020,2,EV+2,MF,0.919569801
JZ,005C,2/10/2020,2020,2,EV-2,AF,0.175846078
JZ,006A,2/19/2020,2020,2,EV+2,MF,0.92035936
JZ,006B,2/19/2020,2020,2,EV-2,AF,0.205053549
JZ,006B,2/19/2020,2020,2,EV0,MF,0.743392306
JZ,006C,2/19/2020,2020,2,EV-2,MF,0.378212125
JZ,006C,2/19/2020,2020,2,EV0,AF,0.776120039
JZ,007A,2/10/2020,2020,2,EV+2,AF,0.474166379
JZ,007A,2/10/2020,2020,2,EV-2,AF,0.0962812
JZ,007A,2/10/2020,2020,2,EV-2,MF,0.092510121
JZ,007A,2/10/2020,2020,2,EV0,MF,0.184979774
JZ,007B,2/10/2020,2020,2,EV+2,AF,0.897368401
JZ,007B,2/10/2020,2020,2,EV+2,MF,0.897708866
JZ,007B,2/10/2020,2020,2,EV-2,AF,0.229402638
JZ,007B,2/10/2020,2020,2,EV-2,MF,0.290923783
JZ,007B,2/10/2020,2020,2,EV0,AF,0.539074602
JZ,007B,2/10/2020,2020,2,EV0,MF,0.581240749
JZ,007C,2/10/2020,2020,2,EV+2,AF,0.834845417
JZ,007C,2/10/2020,2020,2,EV+2,MF,0.886215401
JZ,007C,2/10/2020,2020,2,EV-2,AF,0.090638637
JZ,007C,2/10/2020,2020,2,EV-2,MF,0.13067459
JZ,007C,2/10/2020,2020,2,EV0,AF,0.186299365
JZ,007C,2/10/2020,2020,2,EV0,MF,0.291283632
JZ,008A,2/11/2020,2020,2,EV+2,AF,0.896348954
JZ,008A,2/11/2020,2020,2,EV+2,MF,0.90865606
JZ,008A,2/11/2020,2020,2,EV-2,AF,0.169751206
JZ,008A,2/11/2020,2020,2,EV-2,MF,0.182393265
JZ,008A,2/11/2020,2020,2,EV0,AF,0.556839801
JZ,008A,2/11/2020,2020,2,EV0,MF,0.462249699
JZ,008B,2/11/2020,2020,2,EV+2,AF,0.984097837
JZ,008B,2/11/2020,2020,2,EV+2MF,JPG,0.893126821
JZ,008B,2/11/2020,2020,2,EV0,AF,0.772507948
JZ,008B,2/11/2020,2020,2,EV0,MF,0.619428103
JZ,008C,2/11/2020,2020,2,EV0,AF,0.693729184
JZ,009A,2/11/2020,2020,2,EV+2,AF,0.930550427
JZ,009A,2/11/2020,2020,2,EV+2,MF,0.931256116
JZ,009B,2/11/2020,2020,2,EV+2,AF,0.973431362
JZ,009B,2/11/2020,2020,2,EV0,AF,0.585783628
JZ,009B,2/11/2020,2020,2,EV0,MF,0.350178201
JZ,014B,2/11/2020,2020,2,EV0,AF,0.635038645
JZ,014B,2/11/2020,2020,2,EV0,MF,0.652445287
JZ,014C,2/11/2020,2020,2,EV0,AF,0.380628571
JZ,015A,2/11/2020,2020,2,EV0,AF,0.327348894
JZ,015B,2/11/2020,2020,2,EV+2,AF,0.844147924
JZ,015B,2/11/2020,2020,2,EV+2,MF,0.849325953
JZ,015B,2/11/2020,2020,2,EV-2,AF,0.231575803
JZ,015B,2/11/2020,2020,2,EV-2,MF,0.229667215
JZ,015B,2/11/2020,2020,2,EV0,AF,0.500723466
JZ,015B,2/11/2020,2020,2,EV0,MF,0.478508868
JZ,015C,2/11/2020,2020,2,EV+2,AF,0.908653026
JZ,015C,2/11/2020,2020,2,EV+2,MF,0.945197224
JZ,015C,2/11/2020,2020,2,EV-2,AF,0.154173385
JZ,015C,2/11/2020,2020,2,EV-2,MF,0.238804229
JZ,015C,2/11/2020,2020,2,EV0,AF,0.539416311
JZ,015C,2/11/2020,2020,2,EV0,MF,0.626001423
JZ,016A,2/12/2020,2020,2,EV+2,AF,0.966375968
JZ,016A,2/12/2020,2020,2,EV+2,MF,0.893362159
JZ,016A,2/12/2020,2020,2,EV-2,AF,0.278035322
JZ,016A,2/12/2020,2020,2,EV-2,MF,0.218566326
JZ,016A,2/12/2020,2020,2,EV0,AF,0.737666991
JZ,016A,2/12/2020,2020,2,EV0,MF,0.636994652
JZ,016B,2/12/2020,2020,2,EV+2,AF,0.986369678
JZ,016B,2/12/2020,2020,2,EV+2,MF,1.017612805
JZ,016B,2/12/2020,2020,2,EV-2,AF,0.364864963
JZ,016B,2/12/2020,2020,2,EV-2,MF,0.931304372
JZ,016B,2/12/2020,2020,2,EV0,AF,0.874700766
JZ,016B,2/12/2020,2020,2,EV0,MF,1.014622109
JZ,016C,2/12/2020,2020,2,EV+2,AF,0.973924113
JZ,016C,2/12/2020,2020,2,EV+2,MF,1.016897292
JZ,016C,2/12/2020,2020,2,EV-2,MF,0.710786396
JZ,017A,2/19/2020,2020,2,EV+2,MF,0.918245833
JZ,017A,2/19/2020,2020,2,EV-2,MF,0.105601796
JZ,017A,2/19/2020,2020,2,EV0,MF,0.582363996
JZ,017B,2/19/2020,2020,2,EV+2,AF,0.959663617
JZ,017B,2/19/2020,2020,2,EV+2,MF,0.921293774
JZ,017B,2/19/2020,2020,2,EV-2MF,JPG,0.26395623
JZ,017C,2/19/2020,2020,2,EV+2,AF,0.869285429
JZ,017C,2/19/2020,2020,2,EV-2,MF,0.219232405
JZ,017C,2/19/2020,2020,2,EV0,AF,0.694737091
JZ,017C,2/19/2020,2020,2,EV0,MF,0.56096721
JZ,018A,2/19/2020,2020,2,EV-2,AF,0.132468646
JZ,018C,2/19/2020,2020,2,EV+2,AF,0.972650589
JZ,018C,2/19/2020,2020,2,EV+2,MF,0.973135602
JZ,019A,2/19/2020,2020,2,EV+2,AF,0.977771704
JZ,019B,2/19/2020,2020,2,EV-2,AF,0.121138083
JZ,019B,2/19/2020,2020,2,EV-2,MF,0.132060695
JZ,019B,2/19/2020,2020,2,EV0,MF,0.647897085
JZ,019C,2/19/2020,2020,2,EV+2,AF,0.954749693
JZ,019C,2/19/2020,2020,2,EV+2,MF,0.914532046
JZ,019C,2/19/2020,2020,2,EV-2,AF,0.240281028
JZ,019C,2/19/2020,2020,2,EV-2,MF,0.162905747
JZ,019C,2/19/2020,2020,2,EV0,AF,0.772188603
JZ,019C,2/19/2020,2020,2,EV0,MF,0.617503401
JZ,020A,2/19/2020,2020,2,EV+2,AF,0.935767492
JZ,020A,2/19/2020,2020,2,EV+2,MF,0.918499114
JZ,020A,2/19/2020,2020,2,EV-2,AF,0.105396874
JZ,020A,2/19/2020,2020,2,EV-2,MF,0.107935559
JZ,020A,2/19/2020,2020,2,EV0,AF,0.599320484
JZ,020A,2/19/2020,2020,2,EV0,MF,0.498530358
JZ,020B,2/19/2020,2020,2,EV+2,AF,0.99820244
JZ,020B,2/19/2020,2020,2,EV+2,MF,0.935746055
JZ,020B,2/19/2020,2020,2,EV-2,AF,0.232566668
