Plot,Subplot,Date,Exposure,Focus,Openness
JZ,001A,2009,EV0,,0.24796338
JZ,001A,2009,EV1,,0.088979213
JZ,001A,2009,EV2,,0.055286462
JZ,001B,2009,EV0,,0.615739413
JZ,001B,2009,EV1,,0.122333537
JZ,001B,2009,EV2,,0.072512753
JZ,001C,2009,EV0,,0.665216363
JZ,001C,2009,EV1,,0.225079459
JZ,001C,2009,EV2,,0.091418664
JZ,002A,2009,EV0,,0.548619389
JZ,002A,2009,EV1,,0.134893396
JZ,002A,2009,EV2,,0.078273964
JZ,002B,2009,EV0,,0.517597692
JZ,002B,2009,EV1,,0.153846782
JZ,002B,2009,EV2,,0.100323424
JZ,002C,2009,EV0,,0.271769809
JZ,002C,2009,EV1,,0.105224082
JZ,002C,2009,EV2,,0.066346853
JZ,003A,2009,EV0,,0.629798449
JZ,003A,2009,EV1,,0.144889797
JZ,003A,2009,EV2,,0.080365067
JZ,003B,2009,EV0,,0.527357569
JZ,003B,2009,EV1,,0.158480715
JZ,003B,2009,EV2,,0.102845763
JZ,003C,2009,EV0,,0.59219221
JZ,003C,2009,EV1,,0.132553865
JZ,003C,2009,EV2,,0.071814308
JZ,004A,2009,EV0,,0.535451627
JZ,004A,2009,EV1,,0.160213204
JZ,004A,2009,EV2,,0.092864261
JZ,004B,2009,EV0,,0.690420139
JZ,004B,2009,EV1,,0.174102228
JZ,004B,2009,EV2,,0.057390915
JZ,004C,2009,EV0,,0.77609734
JZ,004C,2009,EV1,,0.117236701
JZ,004C,2009,EV2,,0.049154338
JZ,005A,2009,EV0,,0.757647364
JZ,005A,2009,EV1,,0.10426239
JZ,005A,2009,EV2,,0.051210549
JZ,005B,2009,EV0,,0.781075332
JZ,005B,2009,EV1,,0.093899015
JZ,005B,2009,EV2,,0.043453364
JZ,005C,2009,EV0,,0.745900252
JZ,005C,2009,EV1,,0.116000927
JZ,005C,2009,EV2,,0.062913939
JZ,006A,2009,EV0,,0.167882596
JZ,006A,2009,EV1,,0.105399707
JZ,006A,2009,EV2,,0.074620353
JZ,006B,2009,EV0,,0.158101453
JZ,006B,2009,EV1,,0.089304716
JZ,006B,2009,EV2,,0.062826603
JZ,006C,2009,EV0,,0.213071647
JZ,006C,2009,EV1,,0.135297077
JZ,006C,2009,EV2,,0.103143386
JZ,007A,2009,EV0,,0.127002857
JZ,007A,2009,EV1,,0.082796417
JZ,007A,2009,EV2,,0.060557585
JZ,007B,2009,EV0,,0.148968387
JZ,007B,2009,EV1,,0.081254309
JZ,007B,2009,EV2,,0.050235465
JZ,007C,2009,EV0,,0.393022272
JZ,007C,2009,EV1,,0.0796485
JZ,007C,2009,EV2,,0.063049871
JZ,008A,2009,EV0,,0.218996708
JZ,008A,2009,EV1,,0.102044865
JZ,008A,2009,EV2,,0.06452097
JZ,008B,2009,EV0,,0.183521371
JZ,008B,2009,EV1,,0.102670039
JZ,008B,2009,EV2,,0.070264194
JZ,008C,2009,EV0,,0.351987541
JZ,008C,2009,EV1,,0.136371179
JZ,008C,2009,EV2,,0.088887875
JZ,009A,2009,EV0,,0.180919924
JZ,009A,2009,EV1,,0.126408896
JZ,009A,2009,EV2,,0.083027928
JZ,009B,2009,EV0,,0.311225844
JZ,009B,2009,EV1,,0.079783227
JZ,009B,2009,EV2,,0.053703983
JZ,009C,2009,EV0,,0.196476735
JZ,009C,2009,EV1,,0.111478072
JZ,009C,2009,EV2,,0.074060798
JZ,010A,2009,EV0,,0.338086007
JZ,010A,2009,EV1,,0.165666848
JZ,010A,2009,EV2,,0.119570197
JZ,010B,2009,EV0,,0.204431224
JZ,010B,2009,EV1,,0.108618903
JZ,010B,2009,EV2,,0.067863912
JZ,010C,2009,EV0,,0.265851993
JZ,010C,2009,EV1,,0.126930643
JZ,010C,2009,EV2,,0.077805413
JZ,011A,2009,EV0,,0.139800726
JZ,011A,2009,EV1,,0.091599931
JZ,011A,2009,EV2,,0.055878017
JZ,011B,2009,EV0,,0.207167264
JZ,011B,2009,EV1,,0.092004233
JZ,011B,2009,EV2,,0.057247317
JZ,011C,2009,EV0,,0.159146644
JZ,011C,2009,EV1,,0.082624528
JZ,011C,2009,EV2,,0.058623878
JZ,012A,2009,EV0,,0.225186123
JZ,012A,2009,EV1,,0.128300058
JZ,012A,2009,EV2,,0.090885767
JZ,012B,2009,EV0,,0.216872151
JZ,012B,2009,EV1,,0.103086795
JZ,012B,2009,EV2,,0.078097285
JZ,012C,2009,EV0,,0.236809399
JZ,012C,2009,EV1,,0.147319944
JZ,012C,2009,EV2,,0.098503925
JZ,013A,2009,EV0,,0.289516976
JZ,013A,2009,EV1,,0.093932403
JZ,013A,2009,EV2,,0.05757938
JZ,013B,2009,EV0,,0.272313866
JZ,013B,2009,EV1,,0.122984163
JZ,013B,2009,EV2,,0.059952459
JZ,013C,2009,EV0,,0.187883854
JZ,013C,2009,EV1,,0.095465913
JZ,013C,2009,EV2,,0.059644604
JZ,014A,2009,EV0,,0.210377671
JZ,014A,2009,EV1,,0.0967172
JZ,014A,2009,EV2,,0.059844755
JZ,014B,2009,EV0,,0.234594169
JZ,014B,2009,EV1,,0.119611354
JZ,014B,2009,EV2,,0.076935001
JZ,014C,2009,EV0,,0.341768416
JZ,014C,2009,EV1,,0.126536398
JZ,014C,2009,EV2,,0.082981961
JZ,015A,2009,EV0,,0.187183232
JZ,015A,2009,EV1,,0.098989531
JZ,015A,2009,EV2,,0.059877931
JZ,015B,2009,EV0,,0.559128969
JZ,015B,2009,EV1,,0.117166466
JZ,015B,2009,EV2,,0.065046994
JZ,015C,2009,EV0,,0.378241986
JZ,015C,2009,EV1,,0.130261258
JZ,015C,2009,EV2,,0.062140963
JZ,016A,2009,EV0,,0.269574384
JZ,016A,2009,EV1,,0.111383277
JZ,016A,2009,EV2,,0.072801488
JZ,016B,2009,EV0,,0.21948458
JZ,016B,2009,EV1,,0.108663996
JZ,016B,2009,EV2,,0.069938409
JZ,016C,2009,EV0,,0.291149129
JZ,016C,2009,EV1,,0.124687389
JZ,016C,2009,EV2,,0.074905376
JZ,017A,2009,EV0,,0.755673722
JZ,017A,2009,EV1,,0.118226229
JZ,017A,2009,EV2,,0.055161269
JZ,017B,2009,EV0,,0.43534267
JZ,017B,2009,EV1,,0.097948672
JZ,017B,2009,EV2,,0.055916162
JZ,017C,2009,EV0,,0.221929385
JZ,017C,2009,EV1,,0.089483847
JZ,017C,2009,EV2,,0.05273506
JZ,018A,2009,EV0,,0.156154893
JZ,018A,2009,EV1,,0.091623139
JZ,018A,2009,EV2,,0.05997481
JZ,018B,2009,EV0,,0.177648246
JZ,018B,2009,EV1,,0.115695028
JZ,018B,2009,EV2,,0.090440427
JZ,018C,2009,EV0,,0.16831012
JZ,018C,2009,EV1,,0.093179571
JZ,018C,2009,EV2,,0.067309999
JZ,019A,2009,EV0,,0.398716811
JZ,019A,2009,EV1,,0.258359204
JZ,019A,2009,EV2,,0.150035955
JZ,019B,2009,EV0,,0.316715664
JZ,019B,2009,EV1,,0.151181121
JZ,019B,2009,EV2,,0.044780384
JZ,019C,2009,EV0,,0.361779018
JZ,019C,2009,EV1,,0.183091966
JZ,019C,2009,EV2,,0.127495735
JZ,020A,2009,EV0,,0.176785068
JZ,020A,2009,EV1,,0.106032899
JZ,020A,2009,EV2,,0.065896571
JZ,020B,2009,EV0,,0.249864454
JZ,020B,2009,EV1,,0.104606596
JZ,020B,2009,EV2,,0.071307293
JZ,020C,2009,EV0,,0.277658454
JZ,020C,2009,EV1,,0.087074209
JZ,020C,2009,EV2,,0.054792188
JZ,021A,2009,EV0,,0.514933509
JZ,021A,2009,EV1,,0.19893872
JZ,021A,2009,EV2,,0.131414684
JZ,021B,2009,EV0,,0.536995955
JZ,021B,2009,EV1,,0.14148137
JZ,021B,2009,EV2,,0.091493343
JZ,021C,2009,EV0,,0.494132941
JZ,021C,2009,EV1,,0.277559573
JZ,021C,2009,EV2,,0.232632337
JZ,022A,2009,EV0,,0.407317646
JZ,022A,2009,EV1,,0.124248983
JZ,022A,2009,EV2,,0.061550255
JZ,022B,2009,EV0,,0.194316544
JZ,022B,2009,EV1,,0.107636624
JZ,022B,2009,EV2,,0.066968339
JZ,022C,2009,EV0,,0.210866487
JZ,022C,2009,EV1,,0.11842985
JZ,022C,2009,EV2,,0.071934326
JZ,023A,2009,EV0,,0.331654248
JZ,023A,2009,EV1,,0.120767636
JZ,023A,2009,EV2,,0.083219671
JZ,023B,2009,EV0,,0.314872246
JZ,023B,2009,EV1,,0.114471602
JZ,023B,2009,EV2,,0.072188971
JZ,023C,2009,EV0,,0.397667817
JZ,023C,2009,EV1,,0.087638981
JZ,023C,2009,EV2,,0.042330051
JZ,024A,2009,EV0,,0.35939261
JZ,024A,2009,EV1,,0.124646817
JZ,024A,2009,EV2,,0.073124046
JZ,024B,2009,EV0,,0.282594912
JZ,024B,2009,EV1,,0.124222792
JZ,024B,2009,EV2,,0.080700034
JZ,024C,2009,EV0,,0.305265171
JZ,024C,2009,EV1,,0.117764958
JZ,024C,2009,EV2,,0.071725393
JZ,025A,2009,EV0,,0.298200767
JZ,025A,2009,EV1,,0.11591511
JZ,025A,2009,EV2,,0.086151247
JZ,025B,2009,EV0,,0.18755527
JZ,025B,2009,EV1,,0.105435068
JZ,025B,2009,EV2,,0.069868351
JZ,025C,2009,EV0,,0.200721777
JZ,025C,2009,EV1,,0.098754508
JZ,025C,2009,EV2,,0.062432418
JZ,026A,2009,EV0,,0.240602325
JZ,026A,2009,EV1,,0.139405754
JZ,026A,2009,EV2,,0.087103121
JZ,026B,2009,EV0,,0.282505747
JZ,026B,2009,EV1,,0.078261721
JZ,026B,2009,EV2,,0.045790522
JZ,026C,2009,EV0,,0.266441666
JZ,026C,2009,EV1,,0.087112513
JZ,026C,2009,EV2,,0.0607815
JZ,027A,2009,EV0,,0.393687593
JZ,027A,2009,EV1,,0.183191644
JZ,027A,2009,EV2,,0.097578853
JZ,027B,2009,EV0,,0.232389691
JZ,027B,2009,EV1,,0.084373922
JZ,027B,2009,EV2,,0.053322723
JZ,027C,2009,EV0,,0.216326072
JZ,027C,2009,EV1,,0.124884046
JZ,027C,2009,EV2,,0.086379502
JZ,028A,2009,EV0,,0.32621436
JZ,028A,2009,EV1,,0.109401124
JZ,028A,2009,EV2,,0.060698435
JZ,028B,2009,EV0,,0.200455464
JZ,028B,2009,EV1,,0.093965851
JZ,028B,2009,EV2,,0.060385556
JZ,028C,2009,EV0,,0.242367281
JZ,028C,2009,EV1,,0.13083099
JZ,028C,2009,EV2,,0.088079441
JZ,029A,2009,EV0,,0.250812387
JZ,029A,2009,EV1,,0.106988143
JZ,029A,2009,EV2,,0.073713657
JZ,029B,2009,EV0,,0.685527851
JZ,029B,2009,EV1,,0.11407068
JZ,029B,2009,EV2,,0.066001167
JZ,029C,2009,EV0,,0.387384082
JZ,029C,2009,EV1,,0.100366416
JZ,029C,2009,EV2,,0.058679909
JZ,030A,2009,EV0,,0.606204754
JZ,030A,2009,EV1,,0.109420692
JZ,030A,2009,EV2,,0.061658711
JZ,030B,2009,EV0,,0.490027893
JZ,030B,2009,EV1,,0.135611835
JZ,030B,2009,EV2,,0.080197036
JZ,030C,2009,EV0,,0.266297521
JZ,030C,2009,EV1,,0.141390019
JZ,030C,2009,EV2,,0.100694763
JZ,031A,2009,EV0,,0.315979573
JZ,031A,2009,EV1,,0.126154798
JZ,031A,2009,EV2,,0.081617271
JZ,031B,2009,EV0,,0.387378293
JZ,031B,2009,EV1,,0.139374584
JZ,031B,2009,EV2,,0.074888938
JZ,031C,2009,EV0,,0.354691602
JZ,031C,2009,EV1,,0.184475278
JZ,031C,2009,EV2,,0.148007826
JZ,032A,2009,EV0,,0.134553288
JZ,032A,2009,EV1,,0.079338006
JZ,032A,2009,EV2,,0.052475495
JZ,032B,2009,EV0,,0.364845528
JZ,032B,2009,EV1,,0.144402474
JZ,032B,2009,EV2,,0.044542498
JZ,032C,2009,EV0,,0.136448146
JZ,032C,2009,EV1,,0.087548677
JZ,032C,2009,EV2,,0.060085736
JZ,033A,2009,EV0,,0.278906097
JZ,033A,2009,EV1,,0.116600943
JZ,033A,2009,EV2,,0.066973664
JZ,033B,2009,EV0,,0.223903263
JZ,033B,2009,EV1,,0.114270373
JZ,033B,2009,EV2,,0.061840331
JZ,033C,2009,EV0,,0.256150916
JZ,033C,2009,EV1,,0.116926668
JZ,033C,2009,EV2,,0.07245455
JZ,034A,2009,EV0,,0.198435207
JZ,034A,2009,EV1,,0.121714156
JZ,034A,2009,EV2,,0.082640334
JZ,034B,2009,EV0,,0.203545081
JZ,034B,2009,EV1,,0.094245135
JZ,034B,2009,EV2,,0.066758504
JZ,034C,2009,EV0,,0.157299766
JZ,034C,2009,EV1,,0.106504301
JZ,034C,2009,EV2,,0.062149996
JZ,035A,2009,EV0,,0.285830722
JZ,035A,2009,EV1,,0.117250576
JZ,035A,2009,EV2,,0.063057304
JZ,035B,2009,EV0,,0.231827745
JZ,035B,2009,EV1,,0.10405312
JZ,035B,2009,EV2,,0.075281856
JZ,035C,2009,EV0,,0.19401077
JZ,035C,2009,EV1,,0.084624193
JZ,035C,2009,EV2,,0.054340226
JZ,036A,2009,EV0,,0.228337995
JZ,036A,2009,EV1,,0.135080753
JZ,036A,2009,EV2,,0.078244491
JZ,036B,2009,EV0,,0.266277332
JZ,036B,2009,EV1,,0.158371059
JZ,036B,2009,EV2,,0.094987032
JZ,037A,2009,EV-2,,0.051533147
JZ,037A,2009,EV-4,,0.031601703
JZ,037A,2009,EV0,,0.090781992
JZ,037B,2009,EV-2,,0.066361378
JZ,037B,2009,EV-4,,0.038484621
JZ,037B,2009,EV0,,0.133575015
JZ,037C,2009,EV-2,,0.058338748
JZ,037C,2009,EV-4,,0.033689123
JZ,037C,2009,EV0,,0.100205992
JZ,038A,2009,EV-2,,0.121086366
JZ,038A,2009,EV-4,,0.077022361
JZ,038A,2009,EV0,,0.177212971
JZ,038B,2009,EV-2,,0.100808314
JZ,038B,2009,EV-4,,0.066577471
JZ,038B,2009,EV0,,0.162276627
JZ,038C,2009,EV-2,,0.093436885
JZ,038C,2009,EV-4,,0.050297668
JZ,038C,2009,EV0,,0.181990503
JZ,039A,2009,EV-2,,0.037141667
JZ,039A,2009,EV-4,,0.01758458
JZ,039A,2009,EV0,,0.075968917
JZ,039B,2009,EV-2,,0.04742167
JZ,039B,2009,EV-4,,0.023134014
JZ,039B,2009,EV0,,0.112499217
JZ,039C,2009,EV-2,,0.05265567
JZ,039C,2009,EV-4,,0.027162966
JZ,039C,2009,EV0,,0.117655366
JZ,040A,2009,EV-2,,0.064554687
JZ,040A,2009,EV-4,,0.029931763
JZ,040A,2009,EV0,,0.153435112
JZ,040B,2009,EV-2,,0.106940258
JZ,040B,2009,EV-4,,0.056424028
JZ,040B,2009,EV0,,0.210774656
JZ,040C,2009,EV-2,,0.069936187
JZ,040C,2009,EV-4,,0.037424873
JZ,040C,2009,EV0,,0.161150902
JZ,041A,2009,EV-2,,0.048215826
JZ,041A,2009,EV-4,,0.018152773
JZ,041A,2009,EV0,,0.100623766
JZ,041B,2009,EV-2,,0.09099773
JZ,041B,2009,EV-4,,0.039072025
JZ,041B,2009,EV0,,0.15561352
JZ,041C,2009,EV-2,,0.057193371
JZ,041C,2009,EV-4,,0.023187389
JZ,041C,2009,EV0,,0.110899658
JZ,042A,2009,EV-2,,0.084411888
JZ,042A,2009,EV-4,,0.036603725
JZ,042A,2009,EV0,,0.151353152
JZ,042B,2009,EV-2,,0.081922651
JZ,042B,2009,EV-4,,0.045362723
JZ,042B,2009,EV0,,0.164002254
JZ,042C,2009,EV-2,,0.047555465
JZ,042C,2009,EV-4,,0.024561014
JZ,042C,2009,EV0,,0.105529809
JZ,043A,2009,EV-2,,0.074832955
JZ,043A,2009,EV-4,,0.035160217
JZ,043A,2009,EV0,,0.156620884
JZ,043B,2009,EV-2,,0.060851575
JZ,043B,2009,EV-4,,0.028994796
JZ,043B,2009,EV0,,0.128413282
JZ,043C,2009,EV-2,,0.052557385
JZ,043C,2009,EV-4,,0.024051845
JZ,043C,2009,EV0,,0.107876965
JZ,044A,2009,EV-2,,0.068306587
JZ,044A,2009,EV-4,,0.044832766
JZ,044A,2009,EV0,,0.112126164
JZ,044B,2009,EV-2,,0.079206091
JZ,044B,2009,EV-4,,0.038927107
JZ,044B,2009,EV0,,0.162821157
JZ,044C,2009,EV-2,,0.055239165
JZ,044C,2009,EV-4,,0.03094699
JZ,044C,2009,EV0,,0.105262239
JZ,045A,2009,EV-2,,0.076136095
JZ,045A,2009,EV-4,,0.040006916
JZ,045A,2009,EV0,,0.119977653
JZ,045B,2009,EV-2,,0.051702057
JZ,045B,2009,EV-4,,0.024029482
JZ,045B,2009,EV0,,0.108953407
JZ,045C,2009,EV-2,,0.045853283
JZ,045C,2009,EV-4,,0.023159865
JZ,045C,2009,EV0,,0.092857861
JZ,046A,2009,EV-2,,0.033771521
JZ,046A,2009,EV-4,,0.017744828
JZ,046A,2009,EV0,,0.074261107
JZ,046B,2009,EV-2,,0.071083324
JZ,046B,2009,EV-4,,0.043962982
JZ,046B,2009,EV0,,0.136381015
JZ,046C,2009,EV-2,,0.074076513
JZ,046C,2009,EV-4,,0.031612979
JZ,046C,2009,EV0,,0.136350979
JZ,047A,2009,EV-2,,0.067482593
JZ,047A,2009,EV-4,,0.033847765
JZ,047A,2009,EV0,,0.115807164
JZ,047B,2009,EV-2,,0.081244741
JZ,047B,2009,EV-4,,0.04029388
JZ,047B,2009,EV0,,0.135765819
JZ,047C,2009,EV-2,,0.10800111
JZ,047C,2009,EV-4,,0.057581031
JZ,047C,2009,EV0,,0.199073323
JZ,048A,2009,EV-2,,0.061228935
JZ,048A,2009,EV-4,,0.027634495
JZ,048A,2009,EV0,,0.124499437
JZ,048B,2009,EV-2,,0.062742199
JZ,048B,2009,EV-4,,0.029785353
JZ,048B,2009,EV0,,0.137535037
JZ,048C,2009,EV-2,,0.099772187
JZ,048C,2009,EV-4,,0.040144364
JZ,048C,2009,EV0,,0.180638471
JZ,049A,2009,EV-2,,0.059735906
JZ,049A,2009,EV-4,,0.030956564
JZ,049A,2009,EV0,,0.111618704
JZ,049B,2009,EV-2,,0.073617008
JZ,049B,2009,EV-4,,0.034767041
JZ,049B,2009,EV0,,0.129960323
JZ,049C,2009,EV-2,,0.079609979
JZ,049C,2009,EV-4,,0.041675217
JZ,049C,2009,EV0,,0.14896173
JZ,050A,2009,EV-2,,0.142728259
JZ,050A,2009,EV-4,,0.063361031
JZ,050A,2009,EV0,,0.320699011
JZ,050B,2009,EV-2,,0.061686757
JZ,050B,2009,EV-4,,0.027644836
JZ,050B,2009,EV0,,0.209366435
JZ,050C,2009,EV-2,,0.109287616
JZ,050C,2009,EV-4,,0.059455612
JZ,050C,2009,EV0,,0.228129717
JZ,051A,2009,EV-2,,0.16018777
JZ,051A,2009,EV-4,,0.070270952
JZ,051A,2009,EV0,,0.301270595
JZ,051B,2009,EV-2,,0.08171994
JZ,051B,2009,EV-4,,0.0359496
JZ,051B,2009,EV0,,0.187065785
JZ,051C,2009,EV-2,,0.1007284
JZ,051C,2009,EV-4,,0.04279424
JZ,051C,2009,EV0,,0.190719882
JZ,052A,2009,EV-2,,0.064948364
JZ,052A,2009,EV-4,,0.029377397
JZ,052A,2009,EV0,,0.131383078
JZ,052B,2009,EV-2,,0.077954183
JZ,052B,2009,EV-4,,0.041197885
JZ,052B,2009,EV0,,0.142871345
JZ,052C,2009,EV-2,,0.138098341
JZ,052C,2009,EV-4,,0.06671514
JZ,052C,2009,EV0,,0.265216492
JZ,053A,2009,EV-2,,0.055756005
JZ,053A,2009,EV-4,,0.024563033
JZ,053A,2009,EV0,,0.131433865
